# Stress marks below came from phonology_engine, not a dictionary. The other
# project's standing rule applies: an engine accent is a candidate for
# verification, never truth. Worth checking against kirtis.info.
minia	minia	minià
minia	minios	miniõs
technologija	technologija	technològija
technologija	technologijos	technològijos
puolimas	puolimas	puolìmas
puolimas	puolimai	puolìmai
mankšta	mankšta	mankštà
mankšta	mankštos	mankštõs
rašiklis	rašiklis	rašìklis
rašiklis	rašikliai	rašìkliai
raštelis	raštelis	raštẽlis
raštelis	rašteliai	raštẽliai
plaštaka	plaštaka	plãštaka
plaštaka	plaštakos	plãštakos
slėnis	slėnis	slė̃nis
slėnis	slėniai	slė̃niai
plastikas	plastikas	plãstikas
plastikas	plastikai	plãstikai
molis	moliai	móliai
apskritimas	apskritimas	apskritìmas
apskritimas	apskritimai	apskritìmai
kvadratas	kvadratas	kvadrãtas
kvadratas	kvadratai	kvadrãtai
data	data	datà
data	datos	dãtos
sužalojimas	sužalojimas	sužalójimas
sužalojimas	sužalojimai	sužalójimai
maitinti	maitinti	maitínti
maitinti	maitina	maitìna
maitinti	maitino	maitìno
kabinti	kabinti	kabínti
kabinti	kabina	kabìna
kabinti	kabino	kabìno
lesinti	lesinti	lẽsinti
lesinti	lesina	lẽsina
lesinti	lesino	lẽsino
auginti	auginti	augínti
auginti	augina	augìna
auginti	augino	augìno
deginti	deginti	dẽginti
deginti	degina	dẽgina
deginti	degino	dẽgino
blynas	blynas	blỹnas
blynas	blynai	blỹnai
desertas	desertas	desèrtas
desertas	desertai	desèrtai
internetas	internetas	internètas
internetas	internetai	internètai
užuolaida	užuolaida	užúolaida
užuolaida	užuolaidos	užúolaidos
nuoma	nuoma	núoma
nuoma	nuomos	núomos
paauglys	paauglys	paauglỹs
paauglys	paaugliai	paaugliaĩ
muzikantas	muzikantas	muzikántas
muzikantas	muzikantai	muzikántai
galimas	galimas	gãlimas
galimas	galima	gãlima
garsus	garsus	garsùs
garsus	garsi	garsì
išlenktas	išlenktas	ìšlenktas
išlenktas	išlenkta	išlenktà
modernus	modernus	modernùs
modernus	moderni	modernì
natūralus	natūralus	natūralùs
natūralus	natūrali	natūralì
negyvas	negyvas	negývas
negyvas	negyva	negýva
neturtingas	neturtingas	neturtíngas
neturtingas	neturtinga	neturtínga
seklus	seklus	seklùs
seklus	sekli	seklì
tingus	tingi	tíngi
turtingas	turtinga	turtínga
tylus	tylus	tylùs
tylus	tyli	tỹli
karštis	karštis	kar̃štis
karštis	karščiai	kar̃ščiai
lemputė	lemputė	lempùtė
lemputė	lemputės	lempùtės
naujienos	naujienos	naujíenos
santykiai	santykiai	sántykiai
sekretorius	sekretorius	sekretõrius
sekretorius	sekretoriai	sekretõriai
stalčius	stalčius	stálčius
stalčius	stalčiai	stálčiai
tėvai	tėvai	tėvaĩ
ventiliatorius	ventiliatorius	ventiliãtorius
ventiliatorius	ventiliatoriai	ventiliãtoriai
aštuoniasdešimt	aštuoniasdešimt	aštúoniasdešimt
milijonas	milijonai	milijõnai
penkiasdešimt	penkiasdešimt	peñkiasdešimt
trisdešimt	trisdešimt	trìsdešimt
tie	tais	taĩs
tie	tuose	tuosè
dalintis	dalintis	dalíntis
dalintis	dalinasi	dalìnasi
dalintis	dalinosi	dalìnosi
dėvėti	dėvėti	dėvė́ti
dėvėti	dėvi	dė̃vi
dėvėti	dėvėjo	dėvė́jo
laužyti	laužyti	láužyti
laužyti	laužo	láužo
laužyti	laužė	láužė
lydyti	lydyti	lýdyti
lydyti	lydo	lýdo
lydyti	lydė	lýdė
praeiti	pasirašo	pasirãšo
praeiti	pasirašė	pasirãšė
purtyti	purtyti	púrtyti
purtyti	purto	púrto
purtyti	purtė	púrtė
tuoktis	tuoktis	tuõktis
tuoktis	tuokiasi	tuõkiasi
tuoktis	tuokėsi	tuõkėsi
jo	jo	jõ
jų	jų	jų̃
šie	šių	šių̃
šie	šiems	šíems
šie	šiuos	šiuõs
šie	šiais	šiaĩs
šie	šiuose	šiuosè
kitoks	kitokia	kitókia
atsisiųsti	atsisiųsti	atsisių̃sti
atsisiųsti	atsisiunčia	atsisiuñčia
atsisiųsti	atsisiuntė	atsìsiuntė
lenkti	lenkti	leñkti
lenkti	lenkia	leñkia
melstis	melstis	mel̃stis
melstis	meldžiasi	mel̃džiasi
melstis	meldėsi	mel̃dėsi
muštis	muštis	mùštis
muštis	mušasi	mùšasi
muštis	mušėsi	mùšėsi
šerti	šerti	šérti
šerti	šeria	šẽria
šerti	šėrė	šė́rė
kurčias	kurčias	kur̃čias
kurčias	kurčia	kurčià
sergantis	serganti	ser̃ganti
miltai	miltai	míltai
ryžiai	ryžiai	rỹžiai
